Episode Name,Episode Code,0,1,2,3,4,5,6,7,8,9
0,0,9,9,718,56,10,11,152,9,21,5
1,1,75,92,115,74,141,49,233,63,77,81
2,2,8,5,9,6,349,20,152,71,14,366
3,3,457,5,38,153,9,109,193,10,13,13
4,4,659,0,19,6,13,8,283,7,4,1
5,5,358,9,394,108,3,66,38,5,14,5
6,6,14,16,586,300,4,39,7,7,22,5
7,7,6,38,68,8,428,5,26,362,8,51
8,8,44,1,73,213,14,98,495,4,51,7
9,9,232,2,11,15,18,11,692,5,8,6
10,10,17,25,362,25,16,21,7,188,302,37
11,11,20,4,9,18,554,28,21,48,17,281
